81,23,40,36,39,13,31,10,0,1,0,0,0,18
82,18,37,31,33,10,31,12,0,0,0,0,0,22
83,19,40,29,30,7,33,11,1,1,0,0,1,20
87,18,34,29,29,8,30,10,1,1,0,1,0,22
88,23,40,32,37,11,34,11,1,1,0,0,0,19
89,17,36,32,23,9,35,12,0,0,0,0,1,21
90,22,41,36,34,11,36,12,0,1,0,0,0,20
91,15,49,44,32,10,46,12,0,1,0,0,0,19
92,24,33,28,39,15,32,8,1,1,1,1,0,17
93,99999,44,38,43,11,40,11,0,0,0,0,1,19
94,30,48,44,46,17,42,12,1,1,0,0,1,21
95,20,43,40,30,8,38,12,1,0,0,0,1,21
96,20,43,38,34,11,41,11,1,1,1,0,0,18
97,34,57,51,52,18,47,12,1,1,0,0,0,21
98,24,44,40,40,16,35,12,1,1,1,0,0,19
99,16,38,36,27,7,33,11,1,1,0,0,0,22
100,24,43,39,33,8,35,10,1,1,0,0,0,16
101,25,43,34,42,15,39,9,0,0,0,1,0,18
102,17,37,32,35,6,36,12,1,1,0,0,1,19
103,21,44,34,35,7,35,11,0,1,0,0,0,21
104,19,38,36,32,8,35,12,0,0,0,0,0,19
105,19,35,29,35,99999,99999,9,0,0,0,1,1,17
106,28,40,40,44,11,38,12,1,1,0,0,0,19
107,30,56,47,46,16,49,12,1,1,0,0,0,22
108,28,53,46,52,20,42,12,0,1,0,0,0,18
109,29,43,41,50,19,36,12,1,0,0,1,0,19
112,19,41,35,31,8,34,8,0,0,0,0,1,19
113,20,36,34,37,8,37,10,1,0,0,0,1,20
114,31,45,37,48,13,39,13,1,0,0,0,1,20
115,26,41,35,37,8,35,11,1,1,1,0,0,22
116,28,39,31,42,12,35,11,1,0,0,0,1,17
117,18,41,31,32,9,39,11,1,1,0,0,0,18
118,25,28,24,43,11,20,9,0,0,0,1,0,20
119,31,36,30,49,14,35,12,0,0,0,1,1,21
120,21,42,38,34,8,40,9,1,0,0,0,0,18
121,23,45,36,29,14,40,12,1,1,0,0,0,21
122,23,48,41,41,14,43,12,1,0,0,0,1,19
123,24,37,32,36,8,34,12,1,0,0,0,1,23
124,23,32,24,33,9,31,12,0,0,0,1,0,20
125,27,51,47,40,10,47,12,0,0,0,0,1,23
126,17,27,24,30,7,22,10,0,1,0,1,1,20
127,13,26,26,24,7,25,12,0,1,0,1,0,18
128,20,36,32,35,12,35,9,1,1,0,0,1,17
129,30,48,35,38,8,36,11,1,1,1,0,0,20
130,25,52,46,42,12,49,11,1,1,1,0,0,19
131,18,37,36,38,11,36,10,1,1,1,0,0,20
132,18,42,42,35,11,35,10,1,0,0,1,0,23
133,20,48,47,33,10,48,9,1,0,0,0,1,20
134,22,37,36,36,11,31,7,99999,99999,99999,1,0,18
135,27,44,37,43,11,38,12,0,0,0,0,0,20
136,23,37,32,34,8,32,12,0,1,0,1,0,19
138,27,44,33,42,15,40,12,1,1,0,0,0,21
139,31,54,47,47,13,48,12,1,0,0,0,1,20
140,22,46,43,36,12,43,11,1,1,0,0,1,19
141,24,51,43,46,14,43,12,1,0,0,0,0,19
142,29,37,31,45,9,32,12,0,0,0,0,0,21
143,31,50,47,52,16,46,12,1,1,0,0,1,19
144,30,50,48,44,13,44,12,0,0,0,0,0,23
145,33,55,49,53,16,48,10,1,0,0,0,0,23
146,29,48,43,41,16,41,12,1,0,0,0,1,16
147,25,27,25,37,10,23,12,0,0,0,1,0,19
148,22,39,34,31,7,39,9,1,1,0,0,0,19
149,17,35,30,30,7,32,10,0,0,0,0,0,18
150,25,32,30,38,11,27,11,1,1,1,1,0,24
151,29,57,51,51,17,50,12,0,1,0,0,0,21
152,23,42,36,40,8,38,13,0,1,0,0,0,19
153,26,44,39,41,8,43,12,1,1,0,0,1,19
154,28,45,43,43,18,43,11,0,0,0,0,0,18
155,22,34,28,36,8,33,8,99999,99999,99999,0,1,19
156,21,29,25,40,8,25,11,0,1,0,1,0,22
157,19,40,32,34,10,34,11,1,0,0,0,0,19
158,16,48,44,32,12,40,10,1,1,0,0,0,17
159,26,44,39,37,15,39,11,1,1,0,0,0,18
160,26,40,38,39,6,35,12,1,0,0,0,1,27
161,18,41,32,30,9,36,12,0,1,0,0,0,20
