Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Sarasota-Bradenton FL,Med,2004,620,60,335,314,2325,160,6400,925,13.6,3.3,14.1,74.17,1.99,2.01,48,44,NA,7857,58,22,27,11215,70,26,76,1.15,68,NA,NA,NA,NA,NA,NA,159,58,420,37,NA,NA,203,69,610,77,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA
Seattle WA,Vlg,2004,2965,14,1604,1448,30500,1790,25800,5425,1015.9,156.3,14.1,74.17,2.11,2.22,68,47,NA,47869,13,24,22,98210,13,52,11,1.3,10,NA,NA,NA,NA,NA,NA,969,13,497,20,NA,NA,1824,13,1292,11,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA
Spokane WA-ID,Sml,2004,360,89,195,183,1980,185,4330,1260,40.7,8.3,14.1,74.17,2.11,2.22,16,20,NA,3912,80,13,77,6630,82,26,76,1.13,77,NA,NA,NA,NA,NA,NA,79,80,256,76,NA,NA,126,82,621,75,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
Springfield MA-CT,Med,2004,620,60,335,314,5310,455,5960,1475,40.7,11.1,14.1,74.17,2.02,2.05,20,23,NA,5956,70,15,66,11405,69,28,69,1.13,77,NA,NA,NA,NA,NA,NA,119,69,292,65,NA,NA,199,70,589,79,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
St. Louis MO-IL,Lrg,2004,2170,20,1191,1107,27665,2100,17390,3710,283.9,47.9,14.1,74.17,1.78,1.8,46,39,NA,25762,23,18,49,55063,22,38,49,1.24,30,NA,NA,NA,NA,NA,NA,522,21,368,47,NA,NA,1024,22,945,43,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA
Stockton CA,Sml,2004,375,87,203,190,3360,210,2090,430,57,5,14.1,74.17,2.28,2.27,31,32,NA,1870,97,10,87,3070,98,12,99,1.2,50,NA,NA,NA,NA,NA,NA,25,97,132,93,NA,NA,71,93,337,98,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA
Tampa-St. Petersburg FL,Lrg,2004,2215,19,1216,1130,12980,840,27340,3700,105.8,21,14.1,74.17,1.99,2.01,67,65,NA,28712,18,18,49,60043,20,40,38,1.22,42,NA,NA,NA,NA,NA,NA,576,17,361,48,NA,NA,1084,19,953,41,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,NA
Toledo OH-MI,Med,2004,520,70,281,263,4155,330,4930,1180,22.8,5.1,14.1,74.17,1.81,1.94,29,25,NA,7259,62,16,59,14652,58,41,33,1.21,46,NA,NA,NA,NA,NA,NA,146,61,312,60,NA,NA,271,57,958,40,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Tucson AZ,Med,2004,665,58,359,336,3425,250,10320,1640,62.7,16.9,14.1,74.17,2.04,2.12,54,52,NA,14519,41,29,9,19325,50,41,33,1.2,50,NA,NA,NA,NA,NA,NA,297,41,584,8,NA,NA,393,47,1105,27,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA
Tulsa OK,Med,2004,675,56,365,342,6935,740,9615,1810,16,3.1,14.1,74.17,1.77,1.77,24,31,NA,6724,65,15,66,12173,66,28,69,1.09,90,NA,NA,NA,NA,NA,NA,135,64,296,64,NA,NA,226,66,666,71,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
Virginia Beach VA,Lrg,2004,1540,29,845,785,12995,940,15725,2890,93.3,20.5,14.1,74.17,1.85,1.89,51,45,NA,21016,29,21,33,52740,23,52,11,1.25,25,NA,NA,NA,NA,NA,NA,420,28,413,40,NA,NA,892,26,1181,20,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA
Washington DC-VA-MD,Vlg,2004,4275,7,2120,1819,38200,2050,40960,5945,2266.7,442.9,14.1,74.17,2.04,2.09,81,63,NA,89029,5,35,2,189843,5,74,3,1.33,4,NA,NA,NA,NA,NA,NA,1782,5,688,3,NA,NA,3313,5,1739,3,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA
Wichita KS,Med,2004,445,79,240,225,3915,530,4950,1690,11.2,2.3,14.1,74.17,1.89,1.93,7,16,NA,4831,76,16,59,6255,84,20,89,1.08,95,NA,NA,NA,NA,NA,NA,97,75,331,57,NA,NA,121,83,462,90,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA
Winston-Salem NC,Sml,2004,340,90,184,173,4335,390,1815,350,10,3,14.1,74.17,1.89,1.9,16,19,NA,2641,90,12,82,5155,91,22,87,1.11,85,NA,NA,NA,NA,NA,NA,54,86,242,81,NA,NA,96,91,545,85,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
Worcester MA-CT,Sml,2004,430,81,233,218,5515,475,4780,1100,11,3.8,14.1,74.17,2.02,2.05,24,32,NA,6220,69,19,45,11776,68,38,49,1.17,64,NA,NA,NA,NA,NA,NA,125,67,383,44,NA,NA,206,68,823,57,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Akron OH,Med,2003,590,64,317,297,5435,430,3990,1175,27.3,7.5,13.73,72.23,1.52,1.49,26,28,NA,5712,70,10,86,12002,66,28,67,1.19,52,NA,NA,NA,NA,NA,NA,114,69,196,85,NA,NA,208,65,632,68,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA
Albany NY,Med,2003,545,69,293,274,6000,550,4475,1135,53.6,11.8,13.73,72.23,1.62,1.73,22,32,NA,7111,61,19,39,10785,69,31,63,1.18,56,NA,NA,NA,NA,NA,NA,143,61,379,41,NA,NA,191,67,692,64,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Albuquerque NM,Med,2003,575,67,309,289,4285,330,7050,1440,21.4,7.8,13.73,72.23,1.52,1.51,41,41,NA,6180,66,15,64,12856,62,32,61,1.14,73,NA,NA,NA,NA,NA,NA,71,80,168,90,NA,NA,231,60,753,61,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA
Allentown-Bethlehem PA-NJ,Med,2003,615,60,330,309,4600,395,5300,925,20.3,4.8,13.73,72.23,1.51,1.59,37,40,NA,6383,64,14,70,13374,57,31,63,1.19,52,NA,NA,NA,NA,NA,NA,129,63,288,66,NA,NA,238,58,726,62,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Anchorage AK,Sml,2003,275,94,148,139,1520,195,2240,390,21.7,3.7,13.73,72.23,1.75,1.68,19,28,NA,2968,84,16,56,5643,86,26,71,1.21,40,NA,NA,NA,NA,NA,NA,52,87,285,67,NA,NA,97,87,572,75,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Atlanta GA,Vlg,2003,3940,10,2041,1837,48500,2510,44000,6900,779.8,149,13.73,72.23,1.14,1.4,77,58,NA,72457,7,31,6,155087,8,66,4,1.28,13,NA,NA,NA,NA,NA,NA,1465,7,616,5,NA,NA,2752,7,1593,4,NA,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA
Austin TX,Lrg,2003,1010,40,551,512,10200,730,9000,1460,124.5,37.2,13.73,72.23,1.45,1.43,58,47,NA,15903,37,25,16,32665,35,49,16,1.31,7,NA,NA,NA,NA,NA,NA,319,35,503,20,NA,NA,562,34,1200,14,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Bakersfield CA,Med,2003,440,76,236,221,2000,195,4500,1060,30.8,7,13.73,72.23,1.78,1.79,23,26,NA,1530,98,6,98,1914,99,6,101,1.09,88,NA,NA,NA,NA,NA,NA,31,93,116,96,NA,NA,41,99,164,101,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Baltimore MD,Lrg,2003,2340,17,1278,1187,26050,1530,18230,3270,643,113.2,13.73,72.23,1.52,1.57,66,50,NA,33823,15,21,31,68545,15,44,25,1.23,35,NA,NA,NA,NA,NA,NA,682,15,443,27,NA,NA,1211,16,1064,21,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
Baton Rouge LA,Med,2003,475,73,255,239,3710,240,6800,1390,19,5.5,13.73,72.23,1.46,1.44,39,37,NA,11676,46,37,1,12392,64,42,30,1.18,56,NA,NA,NA,NA,NA,NA,240,45,757,1,NA,NA,250,56,1198,15,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Beaumont TX,Sml,2003,230,97,124,116,2680,225,3000,790,4.3,1,13.73,72.23,1.45,1.43,17,19,NA,2669,89,15,64,3934,92,27,68,1.07,98,NA,NA,NA,NA,NA,NA,54,86,309,61,NA,NA,69,92,595,72,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA
Birmingham AL,Med,2003,735,53,395,370,9020,675,7535,1505,18.3,3.8,13.73,72.23,1.46,1.45,42,35,NA,10883,48,23,25,19491,49,40,34,1.18,56,NA,NA,NA,NA,NA,NA,220,48,462,24,NA,NA,341,50,973,33,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
Boise ID,Sml,2003,260,95,140,131,1375,105,3470,700,5,1.1,13.73,72.23,1.61,1.62,37,45,NA,1939,95,10,86,3628,93,19,91,1.09,88,NA,NA,NA,NA,NA,NA,30,95,157,92,NA,NA,60,95,457,88,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
Boston MA-NH-RI,Vlg,2003,4000,9,1984,1786,37300,2370,34000,6600,1901.8,394.9,13.73,72.23,1.53,1.64,56,39,NA,72313,8,30,7,143164,9,57,6,1.38,2,NA,NA,NA,NA,NA,NA,1452,8,598,6,NA,NA,2436,9,1335,7,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
Boulder CO,Sml,2003,140,101,75,71,675,65,1150,195,0,0,13.73,72.23,1.51,1.55,27,35,NA,2444,90,28,11,3618,94,39,36,1.18,56,NA,NA,NA,NA,NA,NA,49,88,542,12,NA,NA,61,94,852,47,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Bridgeport-Stamford CT-NY,Med,2003,860,50,462,433,10000,600,6200,1375,32.7,10.2,13.73,72.23,1.6,1.68,60,39,NA,14846,39,25,16,31500,38,54,8,1.25,23,NA,NA,NA,NA,NA,NA,299,37,519,15,NA,NA,508,40,1280,9,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA
Brownsville TX,Sml,2003,175,100,94,88,675,55,1290,330,13.7,1.6,13.73,72.23,1.45,1.43,19,31,NA,1040,100,7,96,1751,101,15,95,1.31,7,NA,NA,NA,NA,NA,NA,21,98,152,93,NA,NA,32,101,375,95,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Buffalo NY,Lrg,2003,1095,37,516,479,6720,665,8000,2310,73.4,24.1,13.73,72.23,1.62,1.73,22,26,NA,13049,44,18,46,27417,42,41,32,1.22,38,NA,NA,NA,NA,NA,NA,263,44,357,48,NA,NA,481,42,883,40,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA
Cape Coral FL,Sml,2003,370,85,199,187,1500,110,5100,750,11.8,2.5,13.73,72.23,1.53,1.61,35,32,NA,6328,65,26,15,8660,74,35,56,1.18,56,NA,NA,NA,NA,NA,NA,127,65,519,15,NA,NA,156,74,819,54,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA
Charleston-North Charleston SC,Med,2003,470,74,252,236,3130,255,5700,825,14.2,3.9,13.73,72.23,1.39,1.42,43,39,NA,5349,72,17,52,9952,72,33,60,1.17,63,NA,NA,NA,NA,NA,NA,108,71,343,51,NA,NA,174,72,764,57,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
Charlotte NC-SC,Lrg,2003,940,42,513,477,9200,630,8300,1345,90,18.9,13.73,72.23,1.46,1.47,60,50,NA,15309,38,25,16,21928,46,36,54,1.24,31,NA,NA,NA,NA,NA,NA,310,36,506,19,NA,NA,403,45,904,36,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA
Chicago IL-IN,Vlg,2003,8275,3,4402,3702,52010,2765,49000,12395,3679,582,13.73,72.23,1.57,1.56,81,62,NA,122084,3,24,22,246984,3,49,16,1.27,17,NA,NA,NA,NA,NA,NA,2230,3,433,28,NA,NA,4556,3,1214,12,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
Cincinnati OH-KY-IN,Lrg,2003,1605,28,899,809,17635,1160,12200,2600,152.4,28.1,13.73,72.23,1.52,1.49,52,40,NA,27039,19,21,31,59170,19,53,12,1.23,35,NA,NA,NA,NA,NA,NA,548,17,423,30,NA,NA,1030,19,1218,11,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Cleveland OH,Lrg,2003,1785,22,976,876,17390,1375,11800,2900,270.1,60.6,13.73,72.23,1.52,1.49,31,27,NA,16236,35,12,79,30337,40,25,77,1.19,52,NA,NA,NA,NA,NA,NA,325,34,248,76,NA,NA,509,39,590,73,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Colorado Springs CO,Med,2003,480,72,258,242,3435,290,4970,1175,12.3,3.4,13.73,72.23,1.51,1.55,33,34,NA,5978,67,19,39,12003,65,37,45,1.17,63,NA,NA,NA,NA,NA,NA,120,66,375,43,NA,NA,204,66,824,53,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Columbia SC,Sml,2003,430,80,232,217,5075,420,4805,985,8,2.5,13.73,72.23,1.39,1.42,24,29,NA,3650,80,12,79,6821,81,24,80,1.08,95,NA,NA,NA,NA,NA,NA,74,78,253,74,NA,NA,123,81,535,80,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Columbus OH,Lrg,2003,1190,36,650,604,14665,955,9870,1910,60.4,15.8,13.73,72.23,1.52,1.49,56,45,NA,14572,40,18,46,30887,39,37,45,1.16,67,NA,NA,NA,NA,NA,NA,292,38,349,50,NA,NA,526,38,925,35,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
Corpus Christi TX,Sml,2003,320,92,172,162,2960,310,2530,705,20.9,5.1,13.73,72.23,1.45,1.43,15,24,NA,1280,99,6,98,2993,96,14,97,1.03,101,NA,NA,NA,NA,NA,NA,9,101,39,100,NA,NA,52,97,313,97,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA
Dallas-Fort Worth-Arlington TX,Vlg,2003,4400,6,2574,2445,57870,3470,42970,8610,468.3,85.8,13.73,72.23,1.45,1.43,61,42,NA,57422,11,20,36,127721,11,44,25,1.25,23,NA,NA,NA,NA,NA,NA,1155,11,397,36,NA,NA,2176,11,1023,27,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA
Dayton OH,Med,2003,740,52,397,372,6870,550,6460,1415,47.1,13.9,13.73,72.23,1.52,1.49,35,35,NA,8030,57,16,56,13173,60,26,71,1.11,83,NA,NA,NA,NA,NA,NA,162,57,313,58,NA,NA,226,62,549,77,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Denver-Aurora CO,Lrg,2003,2050,20,1257,1188,17960,1140,21790,3510,383.2,78.6,13.73,72.23,1.51,1.55,67,55,NA,28677,17,19,39,63599,18,42,30,1.29,10,NA,NA,NA,NA,NA,NA,578,16,380,40,NA,NA,1076,18,991,30,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA
Detroit MI,Vlg,2003,4040,8,2206,2069,33000,1910,50645,8355,259.3,48.5,13.73,72.23,1.51,1.49,71,57,NA,64543,10,22,27,140272,10,51,15,1.25,23,NA,NA,NA,NA,NA,NA,1301,10,457,26,NA,NA,2417,10,1179,16,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA
El Paso TX-NM,Med,2003,670,56,360,337,4800,360,5705,1360,61.8,11.1,13.73,72.23,1.45,1.43,36,28,NA,9781,51,21,31,15117,55,34,58,1.21,40,NA,NA,NA,NA,NA,NA,197,51,410,34,NA,NA,271,54,760,60,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Eugene OR,Sml,2003,240,96,129,121,1390,110,1900,395,27.4,8.3,13.73,72.23,1.65,1.65,27,27,NA,1606,97,9,93,3446,95,23,82,1.17,63,NA,NA,NA,NA,NA,NA,32,92,170,89,NA,NA,63,93,473,87,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Fresno CA,Med,2003,595,63,320,299,3280,265,6540,1395,38.1,11.3,13.73,72.23,1.78,1.79,36,38,NA,2948,85,7,96,7810,77,18,93,1.09,88,NA,NA,NA,NA,NA,NA,38,91,84,99,NA,NA,139,76,448,89,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Grand Rapids MI,Med,2003,585,66,314,294,4515,400,7300,1615,24.9,5.8,13.73,72.23,1.51,1.49,30,36,NA,3847,79,11,84,8602,75,23,82,1.11,83,NA,NA,NA,NA,NA,NA,77,77,215,83,NA,NA,149,75,497,84,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Greensboro NC,Sml,2003,305,93,164,154,3935,410,2355,645,10,2.5,13.73,72.23,1.46,1.47,18,25,NA,3511,82,18,46,9062,73,45,23,1.15,68,NA,NA,NA,NA,NA,NA,70,82,364,46,NA,NA,164,73,1077,19,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA
Hartford CT,Med,2003,880,49,472,442,10425,790,7015,1620,95,15,13.73,72.23,1.6,1.68,34,32,NA,11883,45,18,46,21532,47,36,54,1.19,52,NA,NA,NA,NA,NA,NA,238,46,368,44,NA,NA,360,47,810,55,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Honolulu HI,Med,2003,700,54,376,352,5930,415,3175,505,320,70.2,13.73,72.23,2.03,1.22,49,46,NA,10457,50,24,22,16620,52,38,41,1.32,6,NA,NA,NA,NA,NA,NA,208,50,481,21,NA,NA,273,53,859,46,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Houston TX,Vlg,2003,3750,12,2153,2006,49800,2960,39540,7510,549.3,93,13.73,72.23,1.45,1.43,68,47,NA,48156,12,19,39,104912,12,43,29,1.26,20,NA,NA,NA,NA,NA,NA,968,13,390,38,NA,NA,1774,12,978,32,NA,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA
Indianapolis IN,Lrg,2003,1050,39,573,533,11390,760,13300,1900,57.5,11.3,13.73,72.23,1.5,1.44,62,55,NA,16229,36,25,16,36764,32,54,8,1.15,68,NA,NA,NA,NA,NA,NA,329,33,519,15,NA,NA,678,31,1346,6,NA,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA
Indio-Cathedral City-Palm Springs CA,Med,2003,440,76,236,221,880,90,3200,675,29.9,3.6,13.73,72.23,1.78,1.79,35,45,NA,3464,83,14,70,5517,87,17,94,1.07,98,NA,NA,NA,NA,NA,NA,31,93,120,95,NA,NA,103,84,411,94,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Jackson MS,Sml,2003,395,83,213,199,4325,360,5385,1450,1.5,0.8,13.73,72.23,1.45,1.4,17,22,NA,4036,77,13,75,6104,83,21,87,1.12,82,NA,NA,NA,NA,NA,NA,83,75,267,71,NA,NA,122,82,514,81,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA
Jacksonville FL,Lrg,2003,925,45,505,469,10275,735,9275,1480,68.3,9.8,13.73,72.23,1.53,1.61,55,52,NA,13817,43,22,27,24163,44,37,45,1.25,23,NA,NA,NA,NA,NA,NA,278,42,460,25,NA,NA,426,44,851,48,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Kansas City MO-KS,Lrg,2003,1500,30,819,761,20185,1800,12980,3020,58.3,14,13.73,72.23,1.43,1.39,29,32,NA,16637,33,17,52,38407,31,37,45,1.21,40,NA,NA,NA,NA,NA,NA,336,32,334,54,NA,NA,660,32,881,42,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA
Knoxville TN,Med,2003,440,76,237,222,4830,340,6160,1050,7.2,2.6,13.73,72.23,1.46,1.44,31,31,NA,8740,55,29,8,12921,61,44,25,1.24,31,NA,NA,NA,NA,NA,NA,176,53,564,9,NA,NA,230,61,1011,29,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Lancaster-Palmdale CA,Med,2003,510,71,274,257,1005,75,3000,700,37.4,2.7,13.73,72.23,1.78,1.79,27,33,NA,2085,93,4,101,5287,89,15,95,1.08,95,NA,NA,NA,NA,NA,NA,16,99,34,101,NA,NA,89,90,322,96,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Laredo TX,Sml,2003,200,99,108,101,470,75,1680,345,21.7,5,13.73,72.23,1.45,1.43,26,34,NA,748,101,8,94,1762,100,14,97,1.14,73,NA,NA,NA,NA,NA,NA,15,100,167,91,NA,NA,39,100,302,98,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA
Las Vegas NV,Lrg,2003,1320,33,721,670,8700,505,12310,1940,158.2,47.9,13.73,72.23,1.7,1.65,67,53,NA,22435,26,27,12,40348,30,44,25,1.23,35,NA,NA,NA,NA,NA,NA,448,24,533,13,NA,NA,683,30,1057,22,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA
Little Rock AR,Sml,2003,345,89,186,174,5040,430,3520,965,10,2.6,13.73,72.23,1.46,1.44,26,27,NA,2010,94,8,94,4491,91,20,88,1.05,100,NA,NA,NA,NA,NA,NA,27,96,104,97,NA,NA,74,91,443,90,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA
Los Angeles-Long Beach-Santa Ana CA,Vlg,2003,12550,2,6714,6076,136000,5850,124535,20575,2853.4,636.8,13.73,72.23,1.78,1.79,85,62,NA,253561,1,32,5,586229,1,75,2,1.39,1,NA,NA,NA,NA,NA,NA,4129,2,521,14,NA,NA,10015,1,1726,1,NA,NA,NA,NA,NA,NA,NA,NA,1.55,NA,NA
Louisville KY-IN,Lrg,2003,910,47,497,462,11500,720,8495,1480,49,13.3,13.73,72.23,1.44,1.42,57,50,NA,11077,47,20,36,24240,43,38,41,1.21,40,NA,NA,NA,NA,NA,NA,224,47,393,37,NA,NA,430,43,872,43,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA
Madison WI,Sml,2003,370,85,199,187,2830,240,2960,720,40,11.5,13.73,72.23,1.58,1.53,22,29,NA,2427,91,10,86,2929,97,12,99,1.09,88,NA,NA,NA,NA,NA,NA,49,88,192,86,NA,NA,50,98,290,100,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
McAllen TX,Med,2003,390,84,209,196,2425,250,5250,1000,0.5,0.2,13.73,72.23,1.45,1.43,27,32,NA,5006,74,16,56,7742,78,27,68,1.13,79,NA,NA,NA,NA,NA,NA,100,73,313,58,NA,NA,139,76,676,67,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Memphis TN-MS-AR,Lrg,2003,1000,41,546,507,7815,555,13260,2900,66,13,13.73,72.23,1.46,1.44,39,32,NA,19294,30,27,12,31989,37,46,18,1.28,13,NA,NA,NA,NA,NA,NA,389,30,545,10,NA,NA,558,35,1039,23,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
Miami FL,Vlg,2003,5100,5,2861,2601,37000,1975,49045,6620,707.3,133.8,13.73,72.23,1.53,1.61,80,73,NA,94264,4,27,12,177925,6,54,8,1.33,4,NA,NA,NA,NA,NA,NA,1893,4,544,11,NA,NA,3014,6,1171,17,NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA
Milwaukee WI,Lrg,2003,1450,31,782,742,10465,700,14230,3710,177.4,59.8,13.73,72.23,1.58,1.53,41,29,NA,10731,49,12,79,29473,41,32,61,1.14,73,NA,NA,NA,NA,NA,NA,216,49,231,79,NA,NA,491,41,680,66,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
Minneapolis-St. Paul MN,Lrg,2003,2475,16,1351,1255,27580,1590,23205,4800,331.1,73.3,13.73,72.23,1.51,1.45,61,41,NA,23435,24,14,70,58685,20,37,45,1.28,13,NA,NA,NA,NA,NA,NA,471,22,284,68,NA,NA,979,20,825,52,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA
Nashville-Davidson TN,Lrg,2003,940,42,513,477,13085,955,11445,2040,33.8,6.8,13.73,72.23,1.46,1.44,44,40,NA,22800,25,33,4,36177,33,57,6,1.25,23,NA,NA,NA,NA,NA,NA,461,23,677,4,NA,NA,648,33,1357,5,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA
New Haven CT,Med,2003,560,68,301,282,7450,520,4270,1005,29.4,8.3,13.73,72.23,1.6,1.68,38,32,NA,8798,53,23,25,17227,51,45,23,1.2,46,NA,NA,NA,NA,NA,NA,176,53,468,23,NA,NA,288,52,988,31,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA
New Orleans LA,Lrg,2003,1070,38,549,510,5750,425,8290,1840,156,60.6,13.73,72.23,1.46,1.44,42,35,NA,8671,56,10,86,15778,53,20,88,1.21,40,NA,NA,NA,NA,NA,NA,176,53,218,82,NA,NA,293,51,494,85,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA
New York-Newark NY-NJ-CT,Vlg,2003,17700,1,8177,5454,112555,6850,90450,18430,18443.7,3344,13.73,72.23,1.62,1.73,64,44,NA,252544,2,24,22,494005,2,46,18,1.38,2,NA,NA,NA,NA,NA,NA,5081,1,478,22,NA,NA,8697,2,1067,20,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA
Oklahoma City OK,Med,2003,830,51,446,418,9200,740,11000,2475,21.4,4.1,13.73,72.23,1.42,1.35,31,30,NA,9108,52,18,46,20350,48,39,36,1.1,87,NA,NA,NA,NA,NA,NA,183,52,356,49,NA,NA,354,49,867,45,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Omaha NE-IA,Med,2003,615,60,330,309,3600,300,6740,1315,16.5,4.2,13.73,72.23,1.53,1.49,43,39,NA,5241,73,11,84,8334,76,20,88,1.11,83,NA,NA,NA,NA,NA,NA,105,72,215,83,NA,NA,137,78,425,92,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Orlando FL,Lrg,2003,1290,34,704,654,10570,805,17000,2060,147.1,22.7,13.73,72.23,1.53,1.61,69,65,NA,26023,21,29,8,46911,26,54,8,1.25,23,NA,NA,NA,NA,NA,NA,525,19,591,7,NA,NA,819,26,1213,13,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
